Name,Wing Area,Max Speed,Empty Mass,Max Ballast,Reference Weight,Handicap,v1,si1,v2,si2,v3,si3
206 Hornet,9.8,250,227,100,318,100,80,-0.606,120,-0.990,160,-1.918
303 Mosquito,9.9,250,242,0,450,107,100,-0.680,120,-0.920,150,-1.450
304CZ,0.0,250,235,115,310,110,115,-0.860,174,-1.760,213,-3.400
401 Kestrel 17m,11.6,250,260,33,367,110,95,-0.620,110,-0.760,175,-2.010
604 Kestrel,16.3,250,455,100,570,114,113,-0.720,151,-1.420,207,-4.100
AK-8,9.8,250,233,100,362,107,84,-0.652,130,-0.947,170,-1.838
AS-33 15m,8.8,270,275,180,352,116,86,-0.583,115,-0.642,180,-1.473
AS-33 18m,10.0,270,285,220,400,122,97,-0.511,112,-0.556,180,-1.369
ASG-29 (15m),9.2,250,270,165,362,114,109,-0.635,156,-1.182,211,-2.540
ASG-29 (18m),10.5,250,280,225,355,121,85,-0.470,90,-0.480,185,-2.000
ASG-29E (15m),9.2,250,315,200,350,114,100,-0.640,120,-0.750,150,-1.130
ASG-29E (18m),10.5,250,325,200,400,121,90,-0.499,96,-0.510,196,-2.120
ASG-32,15.7,250,650,125,807,120,100,-0.582,126,-0.648,185,-1.450
ASH-25,16.3,250,478,121,750,122,130,-0.780,170,-1.400,220,-2.600
ASH-26,11.7,250,325,185,340,119,100,-0.560,120,-0.740,150,-1.160
ASH-26E,11.7,250,360,90,435,119,90,-0.510,96,-0.530,185,-2.000
ASK-13,17.5,250,296,0,456,79,85,-0.840,120,-1.500,150,-2.800
ASK-18,13.0,250,215,0,310,88,75,-0.613,138,-1.773,200,-4.234
ASK-21,18.0,250,360,0,468,92,74,-0.670,102,-0.900,167,-2.680
ASK-23,12.9,250,240,0,330,92,100,-0.850,120,-1.190,150,-2.020
ASW-12,13.0,250,324,189,394,110,95,-0.570,148,-1.480,183,-2.600
ASW-15,11.0,250,210,91,349,97,98,-0.770,156,-1.900,195,-3.400
ASW-17,14.8,250,405,151,522,115,114,-0.700,169,-1.680,206,-2.900
ASW-19,11.0,250,240,125,363,100,98,-0.740,156,-1.640,195,-3.100
ASW-20,10.5,250,255,159,377,108,116,-0.770,174,-1.890,213,-3.300
ASW-20BL,10.5,250,275,126,400,112,95,-0.628,148,-1.338,200,-2.774
ASW-22B,16.3,250,270,303,597,123,80,-0.402,120,-0.660,160,-1.354
ASW-22BLE,16.7,250,275,285,465,124,100,-0.470,120,-0.630,150,-1.040
ASW-24,10.0,250,230,159,350,107,109,-0.730,142,-1.210,167,-1.800
ASW-27,9.0,250,235,165,365,114,89,-0.594,130,-0.851,170,-1.610
ASW-28 (15m),10.5,250,235,200,310,108,93,-0.571,120,-0.875,148,-1.394
ASW-28 (18m),10.5,250,270,190,345,114,65,-0.470,107,-0.670,165,-2.000
Antares 18S,11.0,250,295,250,350,120,100,-0.540,120,-0.630,150,-1.070
Antares 18T,11.0,250,345,205,395,120,100,-0.540,120,-0.690,150,-1.110
Antares 20E,12.6,250,475,130,530,123,100,-0.520,120,-0.610,150,-0.910
Apis (13m),10.4,250,137,45,200,93,100,-0.740,120,-1.010,150,-1.660
Apis 2 (15m),12.4,250,215,0,310,98,80,-0.600,100,-0.750,140,-1.450
Arcus,15.6,250,430,185,700,120,110,-0.640,140,-0.880,180,-1.470
Blanik L13,19.1,250,292,0,472,78,85,-0.840,143,-3.320,200,-9.610
Blanik L13-AC,17.4,250,306,0,500,78,70,-0.850,110,-1.250,160,-3.200
Blanik L23,19.1,250,310,0,510,80,95,-0.940,148,-2.600,200,-6.370
Carat,10.6,250,341,0,470,93,100,-0.830,120,-1.040,150,-1.690
Cirrus (18m),12.6,250,260,100,330,102,100,-0.740,120,-1.060,150,-1.880
DG-100,11.0,250,230,100,300,100,100,-0.730,120,-1.000,150,-1.700
DG-1000 (20m),17.5,250,415,160,613,111,106,-0.620,153,-1.530,200,-3.200
DG-200,10.0,250,230,120,300,107,100,-0.680,120,-0.860,150,-1.300
DG-300,10.3,250,235,190,310,104,95,-0.660,140,-1.280,160,-1.700
DG-400 (15m),10.0,250,306,90,440,107,115,-0.760,160,-1.220,210,-2.300
DG-400 (17m),10.6,250,310,90,444,109,118,-0.680,164,-1.150,198,-1.800
DG-500 (20m),18.3,250,390,100,659,104,115,-0.710,152,-1.280,190,-2.300
DG-600 (15m),10.9,250,255,180,327,110,100,-0.600,120,-0.760,150,-1.190
DG-800B (15m),10.7,250,340,100,468,113,104,-0.653,130,-0.891,170,-1.481
DG-800B (18m),11.8,250,344,100,472,119,90,-0.550,130,-0.792,170,-1.425
DG-800S (15m),10.7,250,260,150,370,113,92,-0.581,130,-0.975,170,-1.693
DG-800S (18m),11.8,250,264,150,350,119,78,-0.473,130,-0.926,170,-1.795
Delta USHPA-2,0.0,250,5,0,100,0,30,-1.100,44,-1.520,58,-3.600
Delta USHPA-3,0.0,250,5,0,100,0,37,-0.950,48,-1.150,73,-3.600
Delta USHPA-4,0.0,250,5,0,100,0,37,-0.890,48,-1.020,76,-3.300
Dimona,15.3,250,470,100,670,68,100,-1.290,120,-1.610,150,-2.450
Discus,10.6,250,233,182,350,107,95,-0.630,140,-1.230,180,-2.290
Discus 2b,10.6,250,252,200,312,108,105,-0.660,150,-1.050,200,-2.000
Discus 2c (18m),11.4,250,280,188,377,114,100,-0.570,120,-0.760,150,-1.330
Duo Discus,16.4,250,420,80,615,112,103,-0.640,152,-1.250,200,-2.510
Duo Discus T,16.4,250,445,80,615,112,103,-0.640,152,-1.250,200,-2.510
Duo Discus xT,16.4,250,445,50,700,113,110,-0.664,155,-1.206,200,-2.287
EB 28,16.8,250,570,180,670,125,100,-0.460,120,-0.610,150,-0.960
EB 28 Edition,16.5,250,570,180,670,125,100,-0.470,120,-0.630,150,-0.970
G 102 Astir CS,12.4,250,255,90,330,96,75,-0.700,93,-0.740,185,-3.100
G 103 Twin 2,17.5,250,390,0,580,92,99,-0.800,175,-1.950,225,-3.800
G102 Club Astir,12.4,250,255,0,380,91,75,-0.600,100,-0.700,180,-3.100
G102 Std Astir,12.4,250,260,70,380,100,75,-0.600,100,-0.700,180,-2.800
G104 Speed Astir,11.5,250,265,90,351,105,90,-0.630,105,-0.720,157,-2.000
Genesis II,11.2,250,240,151,374,107,94,-0.610,141,-1.180,172,-2.000
Glasfluegel 304,9.9,250,235,145,305,110,100,-0.780,120,-0.970,150,-1.430
H-301 Libelle,9.8,250,180,50,300,100,94,-0.680,148,-2.030,185,-4.100
H201 Std Libelle,9.8,250,185,50,304,98,97,-0.790,152,-1.910,190,-3.300
H205 Club Libelle,9.8,250,200,0,295,96,100,-0.850,120,-1.210,150,-2.010
IS-28B2,18.2,250,375,0,590,84,100,-0.820,160,-2.280,200,-4.270
IS-29D2 Lark,10.4,250,240,0,360,96,100,-0.820,136,-1.550,184,-3.300
JS-1B (18m),11.2,250,310,180,405,121,108,-0.570,152,-1.060,180,-1.650
JS-1C (21m),12.2,250,330,180,441,126,108,-0.520,156,-1.100,180,-1.620
JS-3 (15m),8.8,250,270,158,350,116,100,-0.600,130,-0.800,160,-1.200
